"process","resource","season","zone","value"
"anaerobicFermentation","CO2","wint","energyIsland",0.00
"anaerobicFermentation","CO2","sum","energyIsland",0.00
"anaerobicFermentation","CO2","shoulder","energyIsland",0.00
"anaerobicFermentation","CO2","wint","factory",0.00
"anaerobicFermentation","CO2","sum","factory",0.00
"anaerobicFermentation","CO2","shoulder","factory",0.00
"anaerobicFermentation","CO2","wint","factory_assembly",0.00
"anaerobicFermentation","CO2","sum","factory_assembly",0.00
"anaerobicFermentation","CO2","shoulder","factory_assembly",0.00
"anaerobicFermentation","CO2","wint","factory_blades",0.00
"anaerobicFermentation","CO2","sum","factory_blades",0.00
"anaerobicFermentation","CO2","shoulder","factory_blades",0.00
"anaerobicFermentation","CO2","wint","hospital",0.00
"anaerobicFermentation","CO2","sum","hospital",0.00
"anaerobicFermentation","CO2","shoulder","hospital",0.00
"anaerobicFermentation","CO2","wint","multifunction",0.00
"anaerobicFermentation","CO2","sum","multifunction",0.00
"anaerobicFermentation","CO2","shoulder","multifunction",0.00
"anaerobicFermentation","CO2","wint","northDistrict",0.00
"anaerobicFermentation","CO2","sum","northDistrict",0.00
"anaerobicFermentation","CO2","shoulder","northDistrict",0.00
"anaerobicFermentation","CO2","wint","quality",0.00
"anaerobicFermentation","CO2","sum","quality",0.00
"anaerobicFermentation","CO2","shoulder","quality",0.00
"anaerobicFermentation","CO2","wint","reserved",0.00
"anaerobicFermentation","CO2","sum","reserved",0.00
"anaerobicFermentation","CO2","shoulder","reserved",0.00
"anaerobicFermentation","CO2","wint","residential",0.00
"anaerobicFermentation","CO2","sum","residential",0.00
"anaerobicFermentation","CO2","shoulder","residential",0.00
"anaerobicFermentation","CO2","wint","school",0.00
"anaerobicFermentation","CO2","sum","school",0.00
"anaerobicFermentation","CO2","shoulder","school",0.00
"anaerobicFermentation","CO2","wint","tech",0.00
"anaerobicFermentation","CO2","sum","tech",0.00
"anaerobicFermentation","CO2","shoulder","tech",0.00
"anaerobicFermentation","coal","wint","dormitories",0.00
"anaerobicFermentation","coal","sum","dormitories",0.00
"anaerobicFermentation","coal","shoulder","dormitories",0.00
"anaerobicFermentation","coal","wint","energyIsland",0.00
"anaerobicFermentation","coal","sum","energyIsland",0.00
"anaerobicFermentation","coal","shoulder","energyIsland",0.00
"anaerobicFermentation","coal","wint","factory",0.00
"anaerobicFermentation","coal","sum","factory",0.00
"anaerobicFermentation","coal","shoulder","factory",0.00
"anaerobicFermentation","coal","wint","factory_assembly",0.00
"anaerobicFermentation","coal","sum","factory_assembly",0.00
"anaerobicFermentation","coal","shoulder","factory_assembly",0.00
"anaerobicFermentation","coal","wint","factory_blades",0.00
"anaerobicFermentation","coal","sum","factory_blades",0.00
"anaerobicFermentation","coal","shoulder","factory_blades",0.00
"anaerobicFermentation","coal","wint","hospital",0.00
"anaerobicFermentation","coal","sum","hospital",0.00
"anaerobicFermentation","coal","shoulder","hospital",0.00
"anaerobicFermentation","coal","wint","multifunction",0.00
"anaerobicFermentation","coal","sum","multifunction",0.00
"anaerobicFermentation","coal","shoulder","multifunction",0.00
"anaerobicFermentation","coal","wint","northDistrict",0.00
"anaerobicFermentation","coal","sum","northDistrict",0.00
"anaerobicFermentation","coal","shoulder","northDistrict",0.00
"anaerobicFermentation","coal","wint","quality",0.00
"anaerobicFermentation","coal","sum","quality",0.00
"anaerobicFermentation","coal","shoulder","quality",0.00
"anaerobicFermentation","coal","wint","reserved",0.00
"anaerobicFermentation","coal","sum","reserved",0.00
"anaerobicFermentation","coal","shoulder","reserved",0.00
"anaerobicFermentation","coal","wint","residential",0.00
"anaerobicFermentation","coal","sum","residential",0.00
"anaerobicFermentation","coal","shoulder","residential",0.00
"anaerobicFermentation","coal","wint","school",0.00
"anaerobicFermentation","coal","sum","school",0.00
"anaerobicFermentation","coal","shoulder","school",0.00
"anaerobicFermentation","coal","wint","tech",0.00
"anaerobicFermentation","coal","sum","tech",0.00
"anaerobicFermentation","coal","shoulder","tech",0.00
"anaerobicFermentation","coke","wint","dormitories",0.00
"anaerobicFermentation","coke","sum","dormitories",0.00
"anaerobicFermentation","coke","shoulder","dormitories",0.00
"anaerobicFermentation","coke","wint","energyIsland",0.00
"anaerobicFermentation","coke","sum","energyIsland",0.00
"anaerobicFermentation","coke","shoulder","energyIsland",0.00
"anaerobicFermentation","coke","wint","factory",0.00
"anaerobicFermentation","coke","sum","factory",0.00
"anaerobicFermentation","coke","shoulder","factory",0.00
"anaerobicFermentation","coke","wint","factory_assembly",0.00
"anaerobicFermentation","coke","sum","factory_assembly",0.00
"anaerobicFermentation","coke","shoulder","factory_assembly",0.00
"anaerobicFermentation","coke","wint","factory_blades",0.00
"anaerobicFermentation","coke","sum","factory_blades",0.00
"anaerobicFermentation","coke","shoulder","factory_blades",0.00
"anaerobicFermentation","coke","wint","hospital",0.00
"anaerobicFermentation","coke","sum","hospital",0.00
"anaerobicFermentation","coke","shoulder","hospital",0.00
"anaerobicFermentation","coke","wint","multifunction",0.00
"anaerobicFermentation","coke","sum","multifunction",0.00
"anaerobicFermentation","coke","shoulder","multifunction",0.00
"anaerobicFermentation","coke","wint","northDistrict",0.00
"anaerobicFermentation","coke","sum","northDistrict",0.00
"anaerobicFermentation","coke","shoulder","northDistrict",0.00
"anaerobicFermentation","coke","wint","quality",0.00
"anaerobicFermentation","coke","sum","quality",0.00
"anaerobicFermentation","coke","shoulder","quality",0.00
"anaerobicFermentation","coke","wint","reserved",0.00
"anaerobicFermentation","coke","sum","reserved",0.00
"anaerobicFermentation","coke","shoulder","reserved",0.00
"anaerobicFermentation","coke","wint","residential",0.00
"anaerobicFermentation","coke","sum","residential",0.00
"anaerobicFermentation","coke","shoulder","residential",0.00
"anaerobicFermentation","coke","wint","school",0.00
"anaerobicFermentation","coke","sum","school",0.00
"anaerobicFermentation","coke","shoulder","school",0.00
"anaerobicFermentation","coke","wint","tech",0.00
